"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002790","BP","GO:0002790","peptide secretion","14/479","329/28891",0.00130557663076904,0.0404044247322597,0.0333677962059312,"56508/15378/14683/15107/18096/75387/233079/20377/16971/74370/12289/17886/21844/13640",14
"GO:0048638","BP","GO:0048638","regulation of developmental growth","16/479","405/28891",0.00132362653953123,0.0404044247322597,0.0333677962059312,"63953/19130/18128/14683/18096/23945/12444/52357/16971/19206/17755/22418/13383/13640/20562/11554",16
"GO:0051098","BP","GO:0051098","regulation of binding","16/479","405/28891",0.00132362653953123,0.0404044247322597,0.0333677962059312,"13838/228788/76089/12540/13666/14339/22761/20660/69563/16971/56541/22418/66725/21844/215001/211482",16
"GO:0001952","BP","GO:0001952","regulation of cell-matrix adhesion","8/479","128/28891",0.00136029950906752,0.0412229894704375,0.0340438038844435,"14260/230959/12554/16971/17886/12053/208177/13640",8
"GO:0090179","BP","GO:0090179","planar cell polarity pathway involved in neural tube closure","3/479","14/28891",0.0014387273100333,0.0429768400754232,0.0354922128136786,"20377/22418/12614",3
"GO:2000052","BP","GO:2000052","positive regulation of non-canonical Wnt signaling pathway","3/479","14/28891",0.0014387273100333,0.0429768400754232,0.0354922128136786,"140577/20377/22418",3
"GO:0048261","BP","GO:0048261","negative regulation of receptor-mediated endocytosis","4/479","30/28891",0.0014529493497277,0.0430938594366046,0.0355888526797804,"68420/11813/117148/217835",4
"GO:0010717","BP","GO:0010717","regulation of epithelial to mesenchymal transition","7/479","101/28891",0.00148533691145325,0.0437442180542076,0.0361259481577324,"13838/18128/241324/20377/114716/208177/21844",7
"GO:0043406","BP","GO:0043406","positive regulation of MAP kinase activity","8/479","130/28891",0.00150183431561273,0.0439207769782689,0.0362717584801279,"13838/19882/26564/22418/66725/21844/14370/26403",8
"GO:0045646","BP","GO:0045646","regulation of erythrocyte differentiation","5/479","51/28891",0.00153864796405223,0.0446849012893502,0.0369028067986504,"16331/11480/15402/22761/223770",5
"GO:0050767","BP","GO:0050767","regulation of neurogenesis","18/479","494/28891",0.00168035122780141,0.0484636471356242,0.0400234655420431,"13838/63953/19130/18128/76089/24088/69743/18096/12704/20660/54712/16971/17755/22418/58234/21844/13640/20562",18
"GO:0032092","BP","GO:0032092","positive regulation of protein binding","7/479","104/28891",0.00175864971611212,0.0503744733752115,0.0416015120300206,"76089/13666/14339/16971/22418/66725/21844",7
"GO:0090178","BP","GO:0090178","regulation of establishment of planar polarity involved in neural tube closure","3/479","15/28891",0.00177638441740447,0.0505363240379964,0.0417351756069034,"20377/22418/12614",3
"GO:0007034","BP","GO:0007034","vacuolar transport","9/479","165/28891",0.00180417838629509,0.0509802298073382,0.0421017730116229,"228545/74772/72287/14339/20660/75669/16971/12759/100502841",9
"GO:0021879","BP","GO:0021879","forebrain neuron differentiation","5/479","53/28891",0.00182953367275265,0.0513497303318897,0.0424069232094768,"19130/76089/58208/67263/58234",5
"GO:0046486","BP","GO:0046486","glycerolipid metabolic process","15/479","380/28891",0.00186446232582459,0.0519812096439897,0.0429284273054772,"16331/11758/12334/56703/231293/23945/18705/11813/50767/26457/12623/20660/75669/18799/117150",15
"GO:0090090","BP","GO:0090090","negative regulation of canonical Wnt signaling pathway","8/479","135/28891",0.00190708428233793,0.0528173938326968,0.0436189859208836,"18128/140577/260305/20377/207181/26564/72293/22418",8
"GO:0015833","BP","GO:0015833","peptide transport","14/479","343/28891",0.00192299351232407,0.0529076241351266,0.0436935021740669,"56508/15378/14683/15107/18096/75387/233079/20377/16971/74370/12289/17886/21844/13640",14
"GO:0035088","BP","GO:0035088","establishment or maintenance of apical/basal cell polarity","5/479","54/28891",0.00198917238341738,0.0536691542416224,0.0443224080814426,"241324/12540/14107/22418/13383",5
"GO:0048247","BP","GO:0048247","lymphocyte chemotaxis","5/479","54/28891",0.00198917238341738,0.0536691542416224,0.0443224080814426,"18600/108737/22418/18810/12766",5
"GO:0061245","BP","GO:0061245","establishment or maintenance of bipolar cell polarity","5/479","54/28891",0.00198917238341738,0.0536691542416224,0.0443224080814426,"241324/12540/14107/22418/13383",5
"GO:0016042","BP","GO:0016042","lipid catabolic process","14/479","345/28891",0.00202830091361658,0.0540796813915546,0.0446614399168594,"11758/211666/15107/20280/57357/23945/11813/50767/12623/20660/18799/16971/72469/85031",14
"GO:0010875","BP","GO:0010875","positive regulation of cholesterol efflux","4/479","33/28891",0.00208622304293798,0.0540796813915546,0.0446614399168594,"12623/67484/16971/19206",4
"GO:0008286","BP","GO:0008286","insulin receptor signaling pathway","8/479","137/28891",0.0020914570498857,0.0540796813915546,0.0446614399168594,"434246/19267/20660/17973/117150/14783/213053/20411",8
"GO:2000177","BP","GO:2000177","regulation of neural precursor cell proliferation","8/479","137/28891",0.0020914570498857,0.0540796813915546,0.0446614399168594,"19130/18128/13796/94187/636931/22418/66725/18585",8
"GO:1901652","BP","GO:1901652","response to peptide","17/479","464/28891",0.00211002715638438,0.0540796813915546,0.0446614399168594,"13838/50880/12287/18128/14683/434246/19267/26457/20660/17973/18799/117150/16971/14783/72183/213053/20411",17
"GO:0030509","BP","GO:0030509","BMP signaling pathway","9/479","169/28891",0.0021242629967055,0.0540796813915546,0.0446614399168594,"18128/241324/11480/55994/20377/94187/20660/26564/22418",9
"GO:0061462","BP","GO:0061462","protein localization to lysosome","5/479","55/28891",0.00215874825367539,0.0540796813915546,0.0446614399168594,"74772/20660/75669/270802/12759",5
"GO:0002091","BP","GO:0002091","negative regulation of receptor internalization","3/479","16/28891",0.00215956642572683,0.0540796813915546,0.0446614399168594,"68420/117148/217835",3
"GO:0043455","BP","GO:0043455","regulation of secondary metabolic process","3/479","16/28891",0.00215956642572683,0.0540796813915546,0.0446614399168594,"76089/12560/22418",3
"GO:0048021","BP","GO:0048021","regulation of melanin biosynthetic process","3/479","16/28891",0.00215956642572683,0.0540796813915546,0.0446614399168594,"76089/12560/22418",3
"GO:0090177","BP","GO:0090177","establishment of planar polarity involved in neural tube closure","3/479","16/28891",0.00215956642572683,0.0540796813915546,0.0446614399168594,"20377/22418/12614",3
"GO:1900376","BP","GO:1900376","regulation of secondary metabolite biosynthetic process","3/479","16/28891",0.00215956642572683,0.0540796813915546,0.0446614399168594,"76089/12560/22418",3
"GO:0008277","BP","GO:0008277","regulation of G protein-coupled receptor signaling pathway","8/479","138/28891",0.00218875146023191,0.0544842774207729,0.0449955735652938,"23945/26557/117148/50779/213053/17886/225642/11554",8
"GO:0030010","BP","GO:0030010","establishment of cell polarity","9/479","170/28891",0.00221095493026852,0.0547113225939818,0.0451830777091934,"241324/12540/14107/360013/17755/22418/17886/208177/20469",9
"GO:0007163","BP","GO:0007163","establishment or maintenance of cell polarity","11/479","239/28891",0.00228833046763959,0.056292929503934,0.0464892400267834,"13518/241324/12540/14107/360013/17755/22418/17886/13383/208177/20469",11
"GO:0007097","BP","GO:0007097","nuclear migration","4/479","34/28891",0.00233377965423976,0.0570752427721092,0.047135309606406,"12540/57752/320165/20562",4
"GO:0030336","BP","GO:0030336","negative regulation of cell migration","13/479","313/28891",0.00236684669607414,0.0575474004824537,0.0475252387381838,"13838/63953/18128/15378/228880/18600/20377/16971/109934/217835/17886/208177/170942",13
"GO:0010565","BP","GO:0010565","regulation of cellular ketone metabolic process","9/479","172/28891",0.00239277913152832,0.0578416319540546,0.0477682283574349,"19130/102635496/15378/108099/75387/13666/11813/12623/216453",9
"GO:0098739","BP","GO:0098739","import across plasma membrane","10/479","207/28891",0.00251897212409142,0.0598529430867804,0.0494292598020908,"12287/56485/100604/26457/215335/12289/213053/105727/13383/11554",10
"GO:0002064","BP","GO:0002064","epithelial cell development","11/479","242/28891",0.00251975721098935,0.0598529430867804,0.0494292598020908,"19130/18128/76089/15402/14107/244653/71602/58208/22418/18810/20469",11
"GO:0042886","BP","GO:0042886","amide transport","16/479","432/28891",0.00253160819020621,0.0598529430867804,0.0494292598020908,"56508/15378/14683/15107/18096/75387/233079/20377/26457/16971/74370/12289/17886/22270/21844/13640",16
"GO:0061448","BP","GO:0061448","connective tissue development","13/479","316/28891",0.002569539970004,0.0598529430867804,0.0494292598020908,"18128/14683/70804/55994/15402/13666/14177/269941/20660/58250/26564/22418/213053",13
"GO:0010832","BP","GO:0010832","negative regulation of myotube differentiation","3/479","17/28891",0.00259026963826747,0.0598529430867804,0.0494292598020908,"18128/227721/434246",3
"GO:0040015","BP","GO:0040015","negative regulation of multicellular organism growth","3/479","17/28891",0.00259026963826747,0.0598529430867804,0.0494292598020908,"14683/19206/11554",3
"GO:0070857","BP","GO:0070857","regulation of bile acid biosynthetic process","3/479","17/28891",0.00259026963826747,0.0598529430867804,0.0494292598020908,"19130/102635496/12623",3
"GO:0005977","BP","GO:0005977","glycogen metabolic process","6/479","83/28891",0.0025904788853915,0.0598529430867804,0.0494292598020908,"108099/14783/271221/19309/20411/11554",6
"GO:0006887","BP","GO:0006887","exocytosis","15/479","395/28891",0.00269481475836885,0.0619215127444974,0.0511375779190757,"12287/18128/56508/80976/228545/74772/13852/434246/208898/109934/18195/72293/17886/66725/225642",15
"GO:0048675","BP","GO:0048675","axon extension","8/479","143/28891",0.0027297799181176,0.0620634339053131,0.0512547828144007,"13175/18096/319974/23945/16971/17755/22418/20562",8
"GO:0050922","BP","GO:0050922","negative regulation of chemotaxis","5/479","58/28891",0.00273067236694826,0.0620634339053131,0.0512547828144007,"18128/18600/217835/22418/20562",5
"GO:0051047","BP","GO:0051047","positive regulation of secretion","16/479","437/28891",0.00283396244476812,0.0640628699676772,0.0529060072903796,"102635496/12287/11480/56508/14683/24088/74772/18096/16534/233079/18799/16971/360013/12289/17886/12488",16
"GO:1990138","BP","GO:1990138","neuron projection extension","10/479","211/28891",0.00289071182864157,0.0642010794101533,0.053020146881299,"13175/18096/319974/13796/23945/16971/17755/22418/21844/20562",10
"GO:0016050","BP","GO:0016050","vesicle organization","14/479","359/28891",0.00290721967085899,0.0642010794101533,0.053020146881299,"108664/12287/228545/74772/13852/72287/434246/14339/208898/67141/360013/72293/271221/12488",14
"GO:0044042","BP","GO:0044042","glucan metabolic process","6/479","85/28891",0.00291988860239573,0.0642010794101533,0.053020146881299,"108099/14783/271221/19309/20411/11554",6
"GO:0046394","BP","GO:0046394","carboxylic acid biosynthetic process","13/479","321/28891",0.00293883362444703,0.0642010794101533,0.053020146881299,"266645/13244/19130/102635496/15378/19223/211666/108099/23945/11813/12623/216453/105727",13
"GO:0048713","BP","GO:0048713","regulation of oligodendrocyte differentiation","5/479","59/28891",0.00294357464288691,0.0642010794101533,0.053020146881299,"63953/18128/24088/18096/94185",5
"GO:0006644","BP","GO:0006644","phospholipid metabolic process","14/479","360/28891",0.0029803954569526,0.0642010794101533,0.053020146881299,"16331/11758/12334/56703/20280/231293/18705/11813/56209/50767/26457/75669/18799/117150",14
"GO:0090596","BP","GO:0090596","sensory organ morphogenesis","13/479","322/28891",0.00301765039309069,0.0642010794101533,0.053020146881299,"19130/18128/241324/69743/19126/11941/14107/23965/17268/109934/26564/22418/12614",13
"GO:1901617","BP","GO:1901617","organic hydroxy compound biosynthetic process","11/479","248/28891",0.00303938129322328,0.0642010794101533,0.053020146881299,"19130/102635496/76089/20280/57357/12623/12560/18799/22418/22293/17886",11
"GO:0010470","BP","GO:0010470","regulation of gastrulation","3/479","18/28891",0.00307035291296764,0.0642010794101533,0.053020146881299,"241324/15378/208177",3
"GO:0030033","BP","GO:0030033","microvillus assembly","3/479","18/28891",0.00307035291296764,0.0642010794101533,0.053020146881299,"15378/76089/13852",3
"GO:0032957","BP","GO:0032957","inositol trisphosphate metabolic process","3/479","18/28891",0.00307035291296764,0.0642010794101533,0.053020146881299,"20280/18799/17886",3
"GO:0042249","BP","GO:0042249","establishment of planar polarity of embryonic epithelium","3/479","18/28891",0.00307035291296764,0.0642010794101533,0.053020146881299,"20377/22418/12614",3
"GO:0043217","BP","GO:0043217","myelin maintenance","3/479","18/28891",0.00307035291296764,0.0642010794101533,0.053020146881299,"13244/12759/18810",3
"GO:0048715","BP","GO:0048715","negative regulation of oligodendrocyte differentiation","3/479","18/28891",0.00307035291296764,0.0642010794101533,0.053020146881299,"63953/18128/18096",3
"GO:1905809","BP","GO:1905809","negative regulation of synapse organization","3/479","18/28891",0.00307035291296764,0.0642010794101533,0.053020146881299,"24088/19249/22418",3
"GO:0046488","BP","GO:0046488","phosphatidylinositol metabolic process","8/479","146/28891",0.00310125815569322,0.0643350059300267,0.053130749441571,"16331/56703/231293/18705/26457/75669/18799/117150",8
"GO:0032024","BP","GO:0032024","positive regulation of insulin secretion","7/479","115/28891",0.00310752539403763,0.0643350059300267,0.053130749441571,"56508/14683/18096/233079/16971/12289/17886",7
"GO:0016053","BP","GO:0016053","organic acid biosynthetic process","13/479","324/28891",0.00318045815156258,0.064888495547237,0.053587846130153,"266645/13244/19130/102635496/15378/19223/211666/108099/23945/11813/12623/216453/105727",13
"GO:0001953","BP","GO:0001953","negative regulation of cell-matrix adhesion","4/479","37/28891",0.00319632474479455,0.064888495547237,0.053587846130153,"230959/16971/12053/208177",4
"GO:0045686","BP","GO:0045686","negative regulation of glial cell differentiation","4/479","37/28891",0.00319632474479455,0.064888495547237,0.053587846130153,"63953/18128/69743/18096",4
"GO:0048026","BP","GO:0048026","positive regulation of mRNA splicing, via spliceosome","4/479","37/28891",0.00319632474479455,0.064888495547237,0.053587846130153,"11758/22722/20462/108013",4
"GO:0046879","BP","GO:0046879","hormone secretion","15/479","403/28891",0.00324990637175319,0.065251336886286,0.0538874968722858,"11480/56508/15378/14683/15107/18096/75387/233079/20377/16971/74370/12289/17886/21844/13640",15
"GO:0043266","BP","GO:0043266","regulation of potassium ion transport","7/479","116/28891",0.00326100655409703,0.065251336886286,0.0538874968722858,"16498/108737/432442/12289/13383/225642/246317",7
